titulo,autor,genero,calificacion_puntaje,calificacion_comentario
el jefe,Gabriel García Márquez,Realismo mágico,"5,00",me gusta
prueba,Maihara,prueba,"4,01",no me agrada
Crónicas del abismo,Maihara,Realismo mágico,"3,20",Excelente
Recuerdos olvidados,Gabriel García Márquez,Gabriel García Márquez,"4,16",me gusta
La canción del viento,Mario Vargas Llosa,prueba,"4,99",no me agrada
El último ritual,Jorge Luis Borges,prueba,"3,99",Bueno
El jardín de las cenizas,Isabel Allende,Realismo mágico,"4,66",Muy recomendable.
Luces y sombras,Julio Cortázar,Novela,"1,93",Interesante pero algo lento.
Puertas al infinito,Carlos Fuentes,Cuento,"4,19","Obra maestra, lo amé."
Cartas del pasado,Juan Rulfo,Poesía,"1,24",No cumplió mis expectativas.
La isla prohibida,Pablo Neruda,Ensayo,"1,37",Buena narrativa y personajes.
Caminos cruzados,Laura Esquivel,Teatro,"1,11",Me gustó aunque algo predecible.
El eco de tu voz,Eduardo Galeano,Fantasía,"4,61",Muy aburrido.
El espejo maldito,Ernesto Sabato,Ciencia Ficción,"4,91",Excelente de principio a fin.
Silencio absoluto,Miguel de Cervantes,Terror,"3,81","Regular, no lo volvería a leer."
Laberintos de cristal,Federico García Lorca,Romance,"4,81",Gran historia y final sólido.
Fragmentos de alma,Camilo José Cela,Drama,"3,31",Pasable.
Memorias distorsionadas,Juan José Saer,Aventura,"2,91","Cautivante, no pude soltarlo."
Códigos ocultos,Roberto Bolaño,Histórico,"2,46",Pésimo.
Hijos del fuego,Reinaldo Arenas,Biografía,"3,73",Tiene sus momentos.
En busca del origen,José Martí,Autobiografía,"1,97",Flojo desarrollo de personajes.
El umbral del silencio,Alejo Carpentier,Misterio,"1,65",Mi favorito del año.
Reflejos perdidos,Rosario Castellanos,Thriller,"2,56",Bien escrito pero confuso.
Conspiración en la sombra,Joaquim Maria Machado de Assis,Policial,"1,61",Muy atrapante.
La biblioteca de los secretos,Clarice Lispector,Satírico,"4,11",Demasiado denso para mí.
Entre luces rotas,Rubem Fonseca,Didáctico,"4,98",Una joya literaria.
Voces de otros mundos,Jorge Amado,Epistolar,"4,56",No conecté con los personajes.
Código infinito,José Donoso,Mitología,"3,43",Muy entretenido.
Las ruinas del norte,Manuel Puig,Crónica,"4,31",Interesante perspectiva.
Cazadores de recuerdos,Ricardo Piglia,Narrativa,"3,12",Gran desarrollo de trama.
Almas bajo la lluvia,Horacio Quiroga,Literatura infantil,"3,91",Se vuelve lento por momentos.
Susurros de la tierra,Juan Carlos Onetti,Literatura juvenil,"4,46",Lo mejor que he leído.
Bitácora de un viajero,Alfonsina Storni,Distopía,"2,26",Lectura ligera.
Sabores de la infancia,Sor Juana Inés de la Cruz,Utopía,"4,21",No era lo que esperaba.
Poder interior,Domingo Faustino Sarmiento,Realismo,"3,19",Decepcionante.
Educar con amor,Mariano Azuela,Surrealismo,"4,76",Inspirador y profundo.
Dioses de barro,Pedro Lemebel,Humor,"2,22",Le faltó desarrollo.
Votos de silencio,Nicanor Parra,Erótico,"4,93",Aceptable sin destacar.
Verde profundo,Edmundo Paz Soldán,Gótico,"2,16",Buen libro para pasar el rato.
Mentes digitales,Augusto Roa Bastos,Cyberpunk,"2,73",Demasiado básico.
Ojos de artista,Roque Vallejos,Espiritualidad,"4,91",Me gustó bastante.
Universo en viñetas,Josefina Plá,Filosofía,"3,67",Final brillante.
La espada del destino,Elvio Romero,Psicología,"1,78",No lo terminé.
Memorias del olvido,Bartomeu Meliá,Sociología,"2,91",Tiene buen ritmo.
Guía para el caos,Washington Cucurto,Viajes,"3,82",No logró atraparme.
Manual del explorador,Luisa Valenzuela,Cocina,"1,06",Totalmente recomendado.
