autor,cantidad
Maihara,2
Gabriel García Márquez,2
Alejo Carpentier,1
Alfonsina Storni,1
Camilo José Cela,1
Carlos Fuentes,1
Clarice Lispector,1
Domingo Faustino Sarmiento,1
Edmundo Paz Soldán,1
Eduardo Galeano,1
Augusto Roa Bastos,1
Bartomeu Meliá,1
Ernesto Sabato,1
Elvio Romero,1
Horacio Quiroga,1
Federico García Lorca,1
Joaquim Maria Machado de Assis,1
Jorge Amado,1
Jorge Luis Borges,1
Isabel Allende,1
José Donoso,1
José Martí,1
Juan Carlos Onetti,1
Juan José Saer,1
Juan Rulfo,1
Julio Cortázar,1
Laura Esquivel,1
Josefina Plá,1
Luisa Valenzuela,1
Manuel Puig,1
Mariano Azuela,1
Mario Vargas Llosa,1
Miguel de Cervantes,1
Nicanor Parra,1
Pablo Neruda,1
Pedro Lemebel,1
Reinaldo Arenas,1
Ricardo Piglia,1
Roberto Bolaño,1
Roque Vallejos,1
Rosario Castellanos,1
Rubem Fonseca,1
Sor Juana Inés de la Cruz,1
Washington Cucurto,1
